Log Number ,Date of Collection,Camp Location,"Name  (None, Found in Debris-FID, Self Packed )",Description,Bike Count,Disposed after ,Target Disposal Date,Disposed (Yes/No = Delivered),
1770,11/2/2022,Interlake Park,T2-KQR-1102,"Purple orange tent, Green Greatland cover, Blue green Wenzel sleeping bag, Green black Safeway Albertson bag filled w/clothing.  Black silver Audo Fidelity radio, mattress pad in white plastic covering.",,70 Days,1/11/2023,yes,
1771,11/8/2022,Shilshole Ave NW & NW 45th St Vicinity,T2-JL-1108,"Blue bag w/misc books, Black packpack w/3 flashlights, ring of several keys, Pair of brown shoes, Red black hand truck dolly.",,70 Days,1/17/2023,yes,
1772,11/9/2022,6th & James,T1-KQR-1109,"Yellow with black straps Glaciers Edge bag containing a pair black brook sneaker, picture frame and other misc items.  Another Yellow with black handle straps Glacier Edge bag containing with Honeywell portable heater, Black white and grey blanket.  Empty blue Calpak suitcase with broken handle and crack along top corner.  Green skyway suitcase containing brown jacket and other misc clothin.  1 Blue tarp, 1 metal fram cart.",,70 Days,1/18/2023,yes,
1773,11/10/2022,26th Ave S & S Plum St,T1-KJ-1110,2 Mr Heater Little Buday Propane Heater,,70 Days,1/19/2023,yes,
1774,11/14/2022,S Washington St btwn 3rd Ave S & 4th Ave S,T2-KJ-1114,"Black suitcase, Brown boots, 2 pillows, Makeup containing various makeup, Green duffel bag w.misc jackets, Blue tarp, Red grey sleeping bag",,70 Days,1/23/2023,yes,
1775,11/16/2022,12th Ave & S Lane St,T1-KJ-1116,Black orange bicycle - GMC Denali,1,70 Days,1/25/2023,yes,
1776,11/17/2022,Rotary Viewport,T1-KQR-1117,"Grey tote bag w/pair black yellow TuTange sneakers, green canteen with tan covering and other items.  Green gresh meal bag containing 1 check book and clear plastic trey.  Green umbrella with black polka dots",,70 Days,1/26/2023,yes,
1777,11/18/2022,Albert Davis Park,T2-JL-1118,"Greent tent w/poles, Gray sleeping bag",,70 Days,1/27/2023,yes,
1778,11/18/2022,Poplar Pl S & S Dearborn,T2-KJ-1118,"Black sleeping bag, Black dress shoes, Cardboard box w/3 work lights, extension cords and wiring",,70 Days,1/27/2023,yes,
1779,11/22/2022,26th Ave S,T1-KQR-1122,Black blue suitcase on wheels w/various items including bottle of gabapentin on the label,,70 Days,1/31/2023,No,
1780,11/22/2022,S Winthrop St,T2-KQR-1122,"2 sleeping bags in Coleman draw string, 2 blue sleeping bags without draw strings in bags, Grey Levi bag w/various items inside, brown blanket and 1 multi colored blanket, Mini mouse doll, Columbia sneekers and 3 pillow of various sizes and colors, 8x10 tarp still in plastic",,70 Days,1/31/2023,yes,
1781,11/22/2022,25th Ave S  ,T3-KQR-1122,"Blue silver Shimano 21 speed bike with missing seat model #CA480 Motive, Another bike spray painted grey no markings and chain missing",2,70 Days,1/31/2023,yes,
1782,11/28/2022,Freeway Park,T3-KJ-1128,"Foldable cart (Black & Red), Car key (possibly to a Honda)",,70 Days,2/6/2023,yes,
1783,11/30/2022,Green Lake Park,T1-KJ-1130,"Orange, yellow Northface tent, Green pillow, 2 Blue blankets, Pair of blue brooks tennis shoes, grey bag with mics clothing, reusable shopping bag woth book ""Commentary on the old testament"" other misc papers and person hygiene ",,70 Days,2/8/2023,yes,
1784,12/6/2022,Pratt Park,T1-KQR-1206,"3 packs of flashlight (blue, silver, red), 1 black blue flashlight w/green carabiner.  Blue grey digital thermometer, black red manually powered flashlight radio",,70 Days,2/14/2023,yes,
1785,12/6/2022,3rd Ave S & S Washington St,T2-KQR-1206,"Tan air mattress, blue grey sleeping bag and long sleeve grey shirt",,70 Days,2/14/2023,yes,
1786,12/12/2022,Duwamish Head,T1-KQR-1212,One dollar,,70 Days,2/20/2023,yes,
1787,12/12/2022,Duwamish Head,T2-KQR-1212,"Black craftsman drill, box of colored pencils with name Burke on the case, pair all in motion Black grey gloves, Yellow black allen wrench set, Silver multi tool allen wrench set, Ford key and house key with tree artwprk design",,70 Days,2/20/2023,yes,
1788,12/12/2022,Duwamish Head,T3-KQR-1212,"Dremel set, Dewalt planer, Dewalt jigsaw, Dewalt 24v battery, Dewalt router, Erin plum line, pair channel lpck, bottle plum line chalk, Silver kodak camera, Green portable power station",,70 Days,2/20/2023,yes,
1789,12/13/2022,Poplar Pl S,T1-KQR-1213,"Microsoft audio dock, 2 Orange grey HTC power bank, 2 gillett razors, various hand tools. Green black wishouse walkie talkie. Skull candy earphones in open box, medication bottle with the name Kindrick on the lable",,70 Days,2/21/2023,yes,
1790,12/13/2022,Poplar Pl S,"Self Stored by [Name Withheld]
T3-KQR-1213","32 in LG TV, Intertec portable infrared heater, ",,70 Days,2/21/2023,yes,
1791,12/15/2022,Seward Park,T1-KJ-1215,"2 Ipods, Santa shopping bag w/misc clothing and drawing pens. Set og Jabra GN earbuds in box, Medication bottle for Haily Evles, misc pillows and blanket.",,70 Days,2/23/2023,yes,
1792,12/29/2022,S. Dearborn & Corwin Pl S,T1-KJ-1229,2 pair Nike tennis shoes; 1 pair black tennis shoes; 1 High Sierra black backpack w/ misc. clothing; 1 Blue & White baseball cap,,70 Days,3/9/2023,yes,
1793,12/29/2022,3rd Ave & James St,T2-KJ-1229,1 black & grey Coleman sleeping bag; 1 blue duffel bag w/ misc. clothing,,70 Days,3/9/2023,yes,
1794,1/5/2023,Alaska Way S & S Jackson St,FID,1 bottle of medication w/ name of Carl Steed listed; 1 grey backpack w/ misc clothing items; 1 blue blanket in plastic wrapping; 1 green coleman tent with pikes,,70 Days,3/16/2023,No,
1795,1/6/2023,Victory Creek Park,[Name Withheld],"1 black bag w/ shoes & grey sweats; red suit case w/ jeans & misc clothes; black suit case w/ white shoes, brown shirt, black pants & misc. clothes; black bag w/ green pillows; inflatable mattress",,70 Days,3/17/2023,yes,
1797,1/10/2023,10th Ave S & S Main St,T1-KJ-0110,1 pair black boots; 1 set of con-air nail clippers in carry case; 1 coleman camping stove; 1 Jensen alarm clock radio in a box; 3 camping lights; 1 pack of AAA batteries,,70 Days,3/21/2023,yes,
1801,1/10/2023,Utah Ave,"[Name Withheld]
T1-KQR-0110","Note: self-stored (white male, mid 30's) 1 white/grey Coleman cooler; 1 white Igloo coller w/ broken top",,70 Days,3/21/2023,yes,
1802,1/10/2023,Utah Ave,T3-KQR-0110,1 blue cell phone w/ no brand name,,70 Days,3/21/2023,yes,
1803,1/10/2023,Utah Ave,T7-KQR-0110,"Note: self-stored (white male, mid-50's, calling himself John); 1 two foot metal Werner ladders; 1 6ft metal ladder; 1 canopy frame w/o cover; 1 hand-truck; 2 carts w/ wheels",,70 Days,3/21/2023,yes,
1798,1/11/2023,Alaskan Way & Yesler Way,"T1-KQR-0111
[Name Withheld]","Pavillo brown inflatable mattress; black under armor bag with white extension cord and purple flashlight; Black cooler bag with misc. items including small silver speaker, small black scale, Nokia cell phone, red Gasport’s pump; 1 blue tent bag with tent poles; 1 black tent bag with tent poles; multi-colored quilt; 1 Blue/Black Golden Bear tent (Damaged) with tents poles; 1 green tarp. NOTE: There was a lock on tent zipper that had to be cut.",,70 Days,3/22/2023,No,
1796,1/12/2023,Judge Charles Stokes Overlook Park,T1-KJ-0112,"1 gray storage bin (tote) w/ misc. clothing & sunglasses; 1 black purse w/ misc. make-up & medication w/ name on it: Mielnik, Kelli; 1 social security card w/ name of Supreme-Yahson, C. Sam",,70 Days,3/23/2023,yes,
1799,1/17/2023,Ravenna Blvd (I-5),T1-JL-0117,"Black sleeping bag, black comupter type bag",,70 Days,3/28/2023,yes,
1800,1/18/2023,Fremont Canal Park,T1-KJ-0118,1 pair black tennis shoes; misc. coloring pencils; 1 art pad,,70 Days,3/29/2023,yes,
1804,1/19/2023,E Olive St & 13th Ave,T4-KJ-0119,1 motorized Scooter (Go-Go Traveler),,70 Days,3/30/2023,yes,
1805,1/20/2023,Alaskan Way S & S Washington St,T1-KQR-0120,"1 Silver heart ring; 1 blue/white Igloo cooler, 1 blue sleeping pad, 1 black Hunter rain boots; 1 blue/grey tent; 1 Motorola cell phone w/ cracked screen; 1 blue cart w/ wheels; 1 pink flashlight; 1 electric hair trimmer in case w/ guards of various sizes.",,70 Days,3/31/2023,yes,
1806,1/24/2023,6th Ave S & S Royal Brougham,T2-KQR-0124,1 blue tarp w/ holes; 1 black Nine West handbag; AMC accessories handbag w/ multi-colored dresses (Cotton Candy brand) inside; 1 black coffee mug w/ name Amy Anderson on it.,,70 Days,4/4/2023,yes,
1807,1/27/2023,NW 85th St & 1st Ave NW,T1-JL-0127,"1 black bag w/ 3 pairs of shoes; 1 pair of black shoes; 1 pair of white shoes; red ""jump box"" type of electrical box; small propane type of heater; 1 black bag",,70 Days,4/7/2023,yes,
1808,1/30/2023,E Howell St & Nagle Pl,T2-KJ-0130,"1 orange ""camel crown"" tent; 1 multi-colored heart blanket; 1 red basket w/ misc. clothing",,70 Days,4/10/2023,yes,
1809,1/30/2023,Broadway Hill Park,T3-KJ-0130,"1 bike w/ decal ""DCR""; 1 small electric heater; 1 portable drawing table w/ light",1,70 Days,4/10/2023,yes,
1810,2/1/2023,2nd Ave N & Mercer St,FID,2 X mobile XBA celll phones in sealed packages,0,70 Days,4/12/2023,yes,
1811,2/6/2023,316 NW 85th St,Self-Store: [Name Withheld] (phone # [Withheld]),5 boxes of books; 1 black bag of books; 1 black bag of misc. tools & lighting devices; 1 grey bag of misc. items; 1 blue & brown bag of bungee cords & misc. items; 1 white bucket of misc. items; 1 black box of misc. items,0,70 Days,4/17/2023,yes,
1812,2/6/2023,Alaskan Way S & S King St,T1-TH-0206,"1 Trixun brand watch, black w/ a broken strap",0,70 Days,4/17/2023,yes,
1813,2/9/2023,Lower Kinnear Park,T1-KJ-0209,1 pink samsonite suitcase w/ misc. clothing; 1 black tote w/ locks & what appears to be a make-up case; 1 blue & green coleman tent; 4 multi-colored stuffed animals; 1 black blanket; 2 small blue pillows; 1 pair of black/grey/white Adidas tennis shoes w/ camo bottoms,0,70 Days,4/20/2023,yes,
1814,2/13/2023,Broadway Hill Park (E Republican St & 11th Ave E),T3-KJ-0213,1 Coleman sleeping bag,0,70 Days,4/24/2023,yes,
1815,2/14/2023,N 128th St & Stone Ave N,T2-JL-0214,1 pair of black shoes,0,70 Days,4/25/2023,yes,
1816,2/21/2023,Thomas St Mini Park,T5-KJ-0221,1 blue/grey/red Coleman tent,0,70 Days,5/2/2023,yes,
1818,2/21/2023,Gilman Ave W & W Bertona St,T1-KQR-0221,1 simulated train set (Orbit series) - open box; red Walgreen container containing yellow hologen light; red Dirt Devil hand vac; 2 white shock absorbers; 2 black shock absorbers; various power cords; purple Turbo tote bag filled w/ misc clothing and medication (Quetapine); blue & white bag filled with clothing; red short sleeve jersey #22; hooded grey and black camo jacket; black Palladium boots; red & black backpack; blue portable fan; red & pink polka-dot bag filled w/ misc power cords & other items; Brydge keyboard; black laptop bag; 1 green & grey American Out tent; 1 blue & green White Stag tent,0,70 Days,5/2/2023,yes,
1817,2/24/2023,Cal Anderson,FID,"1 20 inch ""Freestyle"" bike",1,70 Days,5/5/2023,yes,
1819,2/28/2023,Pratt Park,T1-KJ-0228,1 green tarp; 1 black mat (foam); 1 green 2XL ggreekside jacket; 1 pr brown gloves; 1 pr brown US Polo Assn boots - size unknown; 2 baseball caps; 3 bed sheets; 1 pr Stacy Adams shoes (9.5M); 1 brown wallet w/ 2 WA Quest cards for Heriberto E Detamoza; 1 black XL Dockers jacket; 1 purple trash bag w/ personal hygene items; 1 red & grey sleeping bag; 1 red Milwalkee dolly,0,70 Days,5/9/2023,yes,
1820,2/28/2023,Gilman Playground Vicinity,T1-JL-0228,red bag w/ blue sleeping bag; red bag w/ misc clothes; 2 books; blue sweat pants,0,70 Days,5/9/2023,yes,
1821,3/3/2023,Rotary Viewpoint Park,T1-KQR-0303,1 Green & Beige Ozark Trail tent w/ green top & tent poles in bag,0,70 Days,5/12/2023,yes,
1822,3/8/2023,Jefferson Golf Course - V.A. Parking,T3-KJ-0308 ([Name Withheld]),"1 Blue & Black Golden Bear tent; 1 Bridgestone Bike; 1 blue tarp; 2 brown blankets; 1 pair of brown Red Wing work boots; 1 brown coat; 1 pair of black snow boots; 1 reflective vest w/ ""Real Change"" logo; 1 blue hard hat",1,70 Days,5/17/2023,yes,
1823,3/13/2023,6th Ave N & Roy St,T5-KJ-0313,"Grey & blue case w/ drawing pend, pink diary, blue diary w/ leaves. and Pokemon trading card games; 1 pair of glasses in Ray-Ban case; black & red wallet w/ approx. 20 various gift cards, EBT cards. and Orca cards (No identifying cards); various hygiene scents and feminine products.",0,70 Days,5/22/2023,yes,
1824,3/15/2023,E Olive Pl & Melrose Ave,T1-KJ-0315,1 red & black Next bicycle; 1 blue tarp; 1 camping stove; 1 camping lantern; 1 multi-screwdriver; 1 file; wrench,1,70 Days,5/24/2023,yes,
1825,3/15/2023,Jackson Golf Course,T1-KQR-0315,1 Go! Coleman blue & grey tent; 1 green Kamp-Rite cot,0,70 Days,5/24/2023,yes,
1827,3/20/2023,Aurora Ave N SB on ramp/Linden Ave/Winslow Pl N,T1-TH-0320,"Black Sony CD.DVD player, White x-box console, Black/White venturer brand CD/DVD players, Stanley Brand 25' measuring tape silver/yellow",,70 Days,5/29/2023,yes,
1826,3/21/2023,1st Ave SW & SW Michigan St,T5-JL-0320,"Tool belt w/suspenders, small blue bag w.misc wrenches, blue hammer",,70 Days,5/30/2023,yes,
1831,3/22/2023,Julia Lee Park,FID,Black bag w/Volley net set,,70 Days,5/31/2023,yes,
1828,3/27/2023,17th Ave & E Howell St,T1-JL-0327,"Blue tent w/poles, Red sleeping bag, Black shoes, Pink and blue blanket, Yellow blanket, Black Sweat shirt.",,70 Days,6/5/2023,yes,
1829,3/28/2023,Cowen Park,T1-JL-0328,"Green backpack w/2 pairs of shoes, Orange coffee cooler, Black garbage bag w/misc clothes, Black jacket, gray sweat suit, Gray Hacket and Black garbage bag w/misc clothes. ",,70 Days,6/6/2023,yes,
1832,3/28/2023,Lake City Community Center,T1-KQR-0328,"Samsung cell phone w/crack screen, 1 iPhone model U316AT w/crack screen. Blue berry fusion vape, White flashlight, Exide 12 volt battery charger, Beats bluetooth speaker, Ryobi angel grinder w/lithium battery, Black ear muffs, empty black wallet, Black belt, Black brush, Green blanket, Purple blanket, Green Calvin Klien bag, various CD. Bottle of mucus relief medicine, Bottle of migraine relief medicine, Blue ricardo suitcase w/broken handle and fire damage. ",,70 Days,6/6/2023,yes,
1830,3/30/2023,Volunteer Park,T1-JL-0330,"White suit case w/neatly rolled clothing, sock, misc, clothing, black air pump. Gray bag w/small gray mat, small blue heater, blue bedding, inflatable mattress, red tent w/poles. ",,70 Days,6/8/2023,no,
1833,4/3/2023,Florentia St and Nickerson St,T1-KQR-0403,Insignia TV S/N LZRH3YA005098,,70 Days,6/12/2023,yes,
1834,4/5/2023,Interurban Trail,T1-KQR-0405,"Golden Bear brown/white and Orange tent w/poles. A 1-dollar bill, yellow flashlight,m key bank card (Monica L Hamilton) inside green/grey WooBouKing backpack.  Grey/black sleeping bag with holes, grey/black blanket, blue hooded jacket w/black liner burnt mark left chest pocket. ",,70 Days,6/14/2023,yes,
1835,4/5/2023,Interurban Trail,T2-KQR-0405,"Black/grey IZOND suitcase missing wheel, blue sleeping bag w/FSS sewn on, Blue/light blue blanket.",,70 Days,6/14/2023,yes,
1836,4/6/2023,Licton Springs Park,[Name Withheld] DOB: [Withheld],"2 Grey blankets, Red & Grey sleeping bag, Grey storage garage tent, Small Red Propane heater, Clear pet food storage container no lid, Blue coleman tent, Medium Blue tarp, Large Black tarp",,70 Days,6/15/2023,yes,
1837,4/10/2023,10th Ave S & S Lane St,"T2-KJ-0410
Possibly [Name Withheld]","Suitcase w/misc clothing Nike Black and wht tennis shoes, Calvin-Hobbs comic strip books (2), 2 Compositon Notebook with the name Brandy Carlson, Blue & Blk duffel bag w/sheels contents various clothing, Black & Tan bag w/various clothing, 3 Black totes w/various items. Names on tote and some items is Brandy Carlson.  Grey tote w/various bags and backpacks. ",,70 Days,6/19/2023,yes,
1838,4/18/2023,N 127th and Interurban Trail,T1-KQR-0418,20 dollar Master Card/Coco Cola gift card,,70 Days,6/27/2023,yes,
1839,4/21/2023,6th Ave & Mercer St,T3-JL-0421,"Blue grey tent, misc clothes, pink bag w/misc items, Black suitcase, small red heater, black shoes, small gray ironing board",,70 Days,6/30/2023,yes,
1840,4/21/2023,6th Ave & Mercer St,T2-JL-0421,"Black suitcase w/2 belts, 2 pants, black jacket, green mat, gray mat, blue bedding, blue tent, blue umbrella, gray net type bag w/misc items.",,70 Days,6/30/2023,No,
1841,4/24/2023,Bergen Place Park,T1-KQR-0424,"Green tent w/Grey botto (no brand name), blue tarp, black grey coolzon sleeping bag, Purple blanket, tan blanket, black brown blanket, multi colored quilt, blue blanket w/images of fish, various stuff animals, plastic bag filled with personal hygien items.",,70 Days,7/3/2023,no,
1842,5/1/2023,Fremont Canal Park,T1-JL-0501,"Green bag w/3 pairs of shoes. 3 Black Jackets, 1 Blue brown large backpack. 1 Black bag w/misc clopthes, 2 boxes of magic cards, 1 pair of camo type pants, 1 brown bowling ball bag w/bowling ball, 1 large black suit case w/misc clothes",,70 Days,7/10/2023,yes,
1843,5/1/2023,Miller Park Playfield,Ti-KJ-0501,"Blue tent Coleman, White comforter, Brown blanket, Reuseble value village shopping bag w/misc clothing, Green red Coleman sleeping pad, White basket w/misc clothing and shoes, Bag of misc clothing.",,70 Days,7/10/2023,yes,
1844,5/4/2023,Cascade Playground,T1-JB-0504,"Various books, Green tan Coleman tent, Inflatable Air mattress with pump, WA ID Card, Bottle medication, various bottle of dietary supplements, variety of personal hygienes items, pari of black slip of shoes opentoe, safety pins, razors in package, signle tool pliers (red) caribener clip device, wall charge plug and USB cable.",,70 Days,7/13/2023,yes,
1845,5/9/2023,3rd Ave & Cherry St,[Name Withheld],"Self Storage: Tent occupant transported to hospital.  2 bags (black) of personal effects i.e. clothing, tent backpacks and tarp.",,70 Days,7/18/2023,yes,
1846,5/11/2023,9th Ave & Virginia ,T1-KQR-0511,"Pair of Red white NIKE sneakers, pair all white Nike sneakers, Pair Black platform loafer type shoes, Blue black Guides Choice Jacket, pair Black gloves and other clothing in grey bag silver and black handles. ",,70 Days,7/20/2023,yes,
1847,5/15/2023,Ballard Library Vicinity,T1-SP-0515,"Pair of Blue Nike Shoes, Work lights, Power Supply",,70 Days,7/24/2023,yes,
1848,5/16/2023,Ravenna Blvd by Green Lake,T1-JL-0516,"Green bag w/4 pairs of shoes, 2 Black jackets, 3 books, Red brown blanket, Brown jacket, Black backpack",,70 Days,7/25/2023,yes,
1849,5/16/2023,Poplar Pl S from S Dearborn St to S Bush Pl,T1-SP-0516,"Ring, EBT Card, Pair of Black boots, Flute, Pliers",,70 Days,7/25/2023,yes,
1850,5/19/2023,Jose Rizal,T1-SP-0519,"Red patagonia bag with clothes, Windshield repair kit, driver license, Regnence Care, New picture frame.",,70 Days,7/28/2023,yes,
1851,5/22/2023,Ravenna Park,FID,Blue Bike,1,70 Days,7/31/2023,yes,
1854,5/22/2023,Ravenna Park,T1-KQR-0522,"Black hooded North Face jacket, Silver phone charger w/flashlight, Gold colored watch, Blue west Marine spot light, small manually operated flashlight, Whistler Blackcom card with name Ariel Schneier (33657397907)",,70 Days,7/31/2023,yes,
1855,5/22/2023,Ravenna Park,T2-KQR-0522,"New black & decker coffee maker (box opened by FC to verify). Silver CoolPIX Nikon camera, black car dvr camera, White black security man camera, Three 2-pack 3/8 roller skins, 1 single pack 3/8 roller skin, One 12-pack 4 inch roller skins.  One roller paint frame, green paint trey, Red helmet.",,70 Days,7/31/2023,yes,
1852,5/23/2023,S Industrial Way & Airport Way S,T1-SP-0523,"3 blue tarps, DVDs, Picture Frame, Canopy, Black teal Coleman Tent, Ipod touch, Blankets",,70 Days,8/1/2023,yes,
1853,5/24/2023,Denny Park,T1-JL-0524,"Blue Magna Mtn Bike, Blue bedding, Grey suitcase, w/misc clothing, Black suitcase w/misc clothing, Red fishing reel, Green bag w/3 pair of shoes, Brown bppts, white boots, Blue white umbrella, Tan folding chair",1,70 Days,8/2/2023,no,
1856,5/24/2023,Golden Garden ,T1-KQR-0524,"3 medication bottles, Brown w/Camo marking Ozark Trail rain boots, Red white blue beach matt, J Martin file knife, 8x10 blue tarp, 48x72 blue tarp, Light blue drawstring bag w/socks and personal hygiene. Red packpack, Black JDRF cooler, White VR set, Skyloft Hammock, Blue blanket w/zipped hood. Brown leather bomber type jacket Onn charger, anker charger, Blu folding lawn chair, various clothing. ",,70 Days,8/2/2023,no,
1857,5/30/2023,Ravenna Blvd,T1-JL-0523,"Black jacket, Blue jacket, Blue sleeping bag, 5 pairs of shoes, Black bag w/misc clothes, Hat, Blue bag w/6 books",,70 Days,8/8/2023,no,
1858,5/31/2023,Pioneer Square,T1-SP-0531,Black Bike,1,70 Days,8/9/2023,yes,
1859,5/31/2023,Fremont Canal Park,T1-SP-0531,"Ear buds, Headphones, Food thermonter, Black samsonite bag, Blue tarp, Blue tent",,70 Days,8/9/2023,yes,
1860,6/5/2023,Judge Charles Stokes ,"self stored by [Name Withheld]
[Phone # Withheld]","Propane heater, propane stove, black bag of personal hygiene",,70 Days,8/14/2023,yes,
1862,6/6/2023,Utah from Atlantic to Stacy,T1-KJ-0606,Grey red backpack w/misc clothing and black dress shoes.,,70 Days,8/15/2023,yes,
1861,6/7/2023,Albert Davis Park,T1-KQR-0607,"Blue grey Colman tent w/poles. Black baseball cap with picture of skull, Black germ guardian air purifier",,70 Days,8/16/2023,yes,
