Posting Date,Removal Date,Location ,If postponed? ,Storage (# of bins),Tonnage,Needles,Tent Count,Construction Posting,Comments 
1/10/2022,1/12/2022,MLK Park,No,0,"2,000",10,1,No,
1/11/2022,1/13/2022,12015 31st Ave NE,Yes (Posting pulled),0,"7,040",48,6,No,
1/18/2022,1/20/2022,3rd & Cherry ,No,0,"3,000",90,7,No,
1/18/2022,1/19/2022,Westlake Park,No,0,"2,000",80,7,No,
Obstruction,1/21/2022,Julia Lee's Park,No,,,,,N/A,
2/2/2022,2/4/2022,4th and Yesler ,No,0,"2,800",12,3,No,
Obstruction,3/1/2022,4th and Yesler ,No,,,,,No,
2/8/2022,2/10/2022,3rd & Yesler ,No,0,800,15,0,No,
2/10/2022,2/11/2022,N 46th St.-Greenlake Way ,Self resolved,N/A,N/A,N/A,N/A,N/A,
2/14/2022,2/16/2022,Cascade Park ,No,2,"3,000",15,3,N/A,
2/14/2022,2/16/2022,Thomas St. between Pontius Ave N & Minor Ave N (ROW) ,No,0,"1,440",5,2,N/A,
2/14/2022,2/18/2022,Occidental Park ,No,0,"3,000",5,4,N/A,
2/16/2022,2/18/2022,Seven Hills Park ,No,0,"3,210",50,15,N/A,
2/16/2022,2/18/2022,Froula Playground,No,0,0,0,1,N/A,
2/25/2022,2/28/2022,2nd Ave from Clay to Cedar St,No,1,600,10,3,N/A,
2/25/2022,2/28/2022,2nd Ave & Lenora St ,No,1,"3,200",50,14,N/A,
2/25/2022,2/28/2022,Elliot Ave & Vine ,No,1,900,22,1,N/A,
2/25/2022,2/28/2022,1st Ave & Harrison Ave ,No,0,"1,060",0,1,N/A,
2/27/2022,3/2/2022,Dexter & Mercer (AKA Block 59),No,0,"40,680",300,29,N/A,
Obstruction,3/1/2022,Virgil Flaim Park ,No,0,"1,000",5,1,N/A,
3/1/2022,3/3/2022,1st Ave from Wall St. to Battery ,No,0,"1,000",0,3,N/A,
3/1/2022,3/4/2022,South Lake Union Park ,No,0,"3,500",125,3,N/A,
3/1/2022,3/4/2022,4th & Bell,No,0,500,0,1,N/A,
Obstruction,3/7/2022,Highway 99 NB from Roy St. to Mercer St (Northbound 99 & Roy St),No,0,150,0,1,N/A,
Obstruction,3/8/2022,Meridian Playground ,No,0,500,0,1,N/A,
Obstruction,3/8/2022,Ballard Commons ,No,0,0,0,1,N/A,
Obstruction,3/8/2022,Garfield CC,No,0,0,0,1,N/A,
Obstruction,3/8/2022,Ravenna Park ,No,0,500,30,1,N/A,
3/9/2022,3/9/2022,4th Ave Between James & Cherry ,Yes (P.P) Due to Protestors,5,"4,400",120,22,N/A,
3/9/2022,3/9/2022,4th Ave Between Cherry & Columbia ,Yes (P.P) Due to Protestors,0,"4,400",80,10,N/A,
Obstruction,3/9/2022,5th & Yesler ,No,0,50,5,1,N/A,
Obstruction,3/10/2022,Ballard Commons ,No,,,,,N/A,
Obstruction,3/10/2022,2nd Ave from Clay to Cedar St ,No,0,0,0,1,N/A,
3/9/2022,3/11/2022,Westlake Park,No,0,850,35,6,N/A,
Obstruction,3/14/2022,Pinehurst Playground,No,0,80,1,1,N/A,
Obstruction,3/15/2022,Thyme P-Patch ,Self resolved,N/A,N/A,N/A,N/A,N/A,
3/14/2022,3/16/2022,Victor Steinbrueck Park ,Self resolved,N/A,N/A,N/A,N/A,N/A,
3/14/2022,3/16/2022,Genesee Playfield ,No,0,3660,0,4,N/A,
3/14/2022,3/16/2022,Be'er Sheeva Park ,No,0,2740,0,2,N/A,
Obstruction,3/16/2022,4th & Yesler Vicinity ,No,0,100,5,1,N/A,Person in bed roll left. There was no one in the tent when FC/team arrived. Tent was left for possible obstruction on 22nd. 
Obstruction,3/16/2022,1st Ave from Wall St. to Battery ,No,0,35,0,2,N/A,
Obstruction,3/16/2022,1st Ave N from Roy St to Mercer St,Yes (No Compliance),0,0,0,4,N/A,No compliance. The individual didn't want to move or get shelter. 
Obstruction,3/16/2022,Occidental Park ,Yes (No Compliance),0,150,0,0,N/A,
3/15/2022,3/17/2022,Jackson St btw 8th Ave S and 10th Ave S,No,2,"3,380",150,18,N/A,
3/16/2022,3/18/2022,Gilman Playground,No,0,450,0,2,N/A,
3/16/2022,3/18/2022,8th Ave S & S King St,Yes (Posting pulled),,,,,N/A,
Obstruction,3/17/2022,4th & Yesler Vicinity ,Self resolved,N/A,N/A,NA,N/A,N/A,Self-resolved 
Obstruction,3/17/2022,Cal Anderson ,Verbal Compliance ,N/A,0,0,1,N/A,
3/18/2022,3/18/2022,Traffic Island @ I-5 NB @ Olive & Melrose (1-Tent) ,Self resolved-Horan,N/A,N/A,N/A,N/A,N/A,
3/18/2022,3/21/2022,Thornton Creek ,No,1,"7,160",200,4,N/A,
Obstruction,3/22/2022,Miller Playfield ,Clear-No obstruction,N/A,N/A,N/A,N/A,N/A,"When FC and team arrived at the site, it was clear. "
Obstruction,3/22/2022,Occidental Park ,No,0,25,0,0,N/A,
Obstruction,3/22/2022,1st Ave from Wall St. to Battery ,Self resolved,N/A,N/A,N/A,N/A,N/A,
Obstruction,3/22/2022,1st Ave N from Roy St to Mercer St,No,0,500,0,3,N/A,
-,3/23/2022,Pratt Park ,No,3,"7,000",0,4,N/A,
3/22/2022,3/24/2022,7th Ave NE & NE 43rd St (WSDOT Property) NE 45th,No,0,"20,000",150,1,N/A,
3/22/2022,3/25/2022,10th & Dearborn ( S Lane St to S Dearborn St from 12th Ave S to 10th Ave S),No,0,"40,082",500,54,N/A,
Obstruction,3/28/2022,Ballard Library ,Self resolved,N/A,N/A,N/A,N/A,N/A,Self-resolved 
Obstruction,3/28/2022,Cal Anderson ,Verbal Compliance ,N/A,N/A,N/A,N/A,N/A,Verbal Compliance 
Obstruction,3/28/2022,Miller Playfield ,Clear ,N/A,N/A,N/A,N/A,N/A,Clear
3/26/2022,3/28/2022,12th & Dearborn  (Poplar Pl S from S Dearborn St to S Bush Pl Vicinity),No,0,"2,840",100,7,N/A,
Obstruction,3/29/2022,Pratt Park ,No ,0,1500,0,3,N/A,
Obstruction,3/29/2022,Genesee Playfield ,No ,0,1500,0,2,N/A,
3/28/2022,3/30/2022,Gasworks Park ,No ,0,"4,500",75,4,N/A,
3/29/2022,4/1/2022,Occidental Park ,No ,?,?,?,?,N/A,
3/31/2022,4/2/2022,Freeway Park,No ,0,"4,540",200,13,N/A,
Obstruction ,4/4/2022,Freeway Park,No ,0,500,10,5,N/A,
Obstruction,4/4/2022,Cal Anderson ,No,0,N/A,300,0,N/A,Crew was sent to remove furniture. 
Obstruction,4/4/2022,3rd Ave & Cherry ,No ,0,1000,10,3,N/A,
4/4/2022,4/6/2022,Broadway Hill Park ,No,1,"2,000",20,7,N/A,
Obstruction,4/6/2022,Albert Davis Park ,No ,0,764,2,2,,
Obstruction ,4/5/2022,Western Ave from Marion St to Columbia St,No ,0,"1,400",30,4,N/A,
4/5/2022,4/7/2022,Thomas St Mini Park ,No ,0,250,20,1,N/A,
Obstruction ,4/7/2022,10th & Dearborn ( S Lane St to S Dearborn St from 12th Ave S to 10th Ave S),No ,0,200,50,2,,
4/8/2022,4/12/2022,Delridge Playfield ,Yes (Posting pulled),,,,,N/A,
Obstruction ,4/11/2022,Cal Anderson ,No ,0,N/A,N/A,N/A,N/A,Verbal Compliance 
Obstruction ,4/11/2022,10th & Dearborn ( S Lane St to S Dearborn St from 12th Ave S to 10th Ave S),No ,0,150,0,1,N/A,
Obstruction ,4/11/2022,Albert Davis Park ,No ,0,200,2,4,N/A,
Obstruction ,4/11/2022,Ballard Commons ,No,0,50,3,1,N/A,Verbal Compliance 
Obstruction ,4/12/2022,Freeway Park,No,0,0,0,1,N/A,Verbal Compliance -No photos 
Obstruction ,4/13/2022,Magnuson Park ,No ,0,0,0,1,N/A,Verbal Compliance-No photos 
Obstruction ,4/14/2022,Seven Hills Park ,No ,0,N/A,N/A,N/A,N/A,Verbal Compliance 
Obstruction ,4/14/2022,Gilman Playground,No ,0,50,0,1,N/A,Verbal Compliance 
4/12/2022,4/14/2022,83rd & Mary ,No ,0,"3,560",183,9,N/A,No Photos 
4/14/2022,4/15/2022,NW 14th & NW 53rd ,No ,0,"32,030",200,21,N/A,
4/11/2022,4/15/2022,6th Ave & Yesler ,No ,?,?,?,?,N/A,Waiting on James to provide data 
4/16/2022,4/18/2022,Harvard Ave from Seneca St to Broadway (Poly Clinic) ,No ,0,"7,720",65,9,N/A,
4/16/2022,4/18/2022,4th Ave at Royal Brougham Emphasis Area,No ,0,"4,000",0,6,N/A,
Obstruction,4/18/2022,Pratt Park ,No ,0,650,0,1,N/A,
Obstruction,4/18/2022,Cal Anderson ,No ,0,0,0,1,N/A,Voluntary Compliance (no photos) 
Obstruction,4/18/2022,Gilman Playground,No ,0,210,0,1,N/A,
Obstruction,4/18/2022,Miller Playfield ,No ,0,240,2,1,N/A,
4/15/2022,4/19/2022,8th Ave S & S King St,No ,0,"7,160",0,16,N/A,
Obstruction,4/20/2022,Cal Anderson ,No ,,,,,N/A,
4/18/2022,4/20/2022,Tashkent Park ,No ,0,"12,000",3,13,N/A,
Obstruction,4/20/2022,Commodore Park ,No ,0,75,5,1-bedroll,N/A,Camper was not there when crew arrived. 
Obstruction,4/20/2022,4th & Yesler ,No ,0,30,0,1,N/A,Verbal Compliance 
Obstruction,4/20/2022,Albert Davis Park ,No,0,N/A,0,1,N/A,Verbal Compliance 
4/19/2022,4/21/2022,Thorndyke Park ,No ,0,25,5,1,N/A,Activist was onsite when crew arrived. The activist helped the camper pack his belongings into her car and left. 
Obstruction,4/21/2022,Denny Park ,No ,0,20,0,0,N/A,Voluntary Compliance 
4/19/2022,4/21/2022,5th Ave & Olive St ,No ,0,"1,440",2,7,N/A,
4/19/2022,4/21/2022,Lenora St to Virginia St and from 5th Ave to 4th Ave,No ,0,560,0,4,N/A,
Obstruction,4/22/2022,Blanch Lavizzo,No ,N/A,N/A,N/A,N/A,N/A,Voluntary Compliance 
Obstruction,4/22/2022,Green Lake ,No ,1,220,0,1,N/A,
Obstruction,4/22/2022,University Playground,No ,0,0,0,1,N/A,Voluntary Compliance 
Obstruction,4/22/2022,Virgil Flaim ,No ,0,350,70,4,N/A,
Obstruction,4/25/2022,Cascade Park ,No ,0,120,4,1,N/A,
Obstruction,4/25/2022,Thomas St Mini Park ,No ,0,55,10,1,N/A,
Obstruction,4/26/2022,Cal Anderson ,No ,0,25,0,2,N/A,Verbal Compliance 
4/25/2022,4/27/2022,2nd Ave Btw Blanchard St & Lenora St,No ,0,100,0,4,N/A,Verbal Compliance 
Obstruction,4/27/2022,Victory Creek,No ,N/A,N/A,N/A,N/A,N/A,"It was clear, when crew arrived to complete obstruction. "
Obstruction ,4/28/2022,3rd Ave S & S Jackson St,No ,0,200,15,1,N/A,Voluntary Compliance 
Obstruction ,4/29/2022,Ballard Library ,No ,0,30,0,1,N/A,Voluntary Compliance 
Obstruction ,4/29/2022,Victor Steinbrueck Park ,No ,0,10,0,2,N/A,Voluntary Compliance 
Obstruction ,4/29/2022,4th & Bell (ROW),No ,0,30,1,3,N/A,Voluntary Compliance 
Obstruction ,4/29/2022,2nd Ave Lenora & Blanchard ,No ,0,0,0,1,N/A,Voluntary Compliance 
Obstruction,4/29/2022,Green Lake ,No ,0,25,0,1,N/A,Voluntary Compliance 
Obstruction,5/4/2022,2nd and Lenora ,No ,0,100,0,3 (1-bedroll),N/A,Verbal Compliance 
Obstruction,5/2/2022,4th & Yesler ,No ,0,30,0,2,N/A,Voluntary Compliance 
Obstruction,5/2/2022,Westlake Park ,No ,0,25,0,1,N/A,Voluntary Compliance 
5/2/2022,5/4/2022,9th & Leary Way (Leary Triangle) ,Yes (Posting pulled),0,"21,160",500,8,N/A,Bill Posted-Removal 5/4 
Obstruction,5/3/2022,Albert Davis Park ,No ,0,200,10,5,N/A,Voluntary Compliance 
Obstruction,5/3/2022,4th & Yesler ,No ,0,0,0,1,N/A,Voluntary Compliance 
Obstruction,5/3/2022,Pratt Park ,No ,0,500,0,1,N/A,Voluntary Compliance 
Obstruction,5/5/2022,8th Ave S & S King St,No ,0,425,0,3,N/A,Voluntary Compliance 
Obstruction,5/6/2022,Occidental Park ,No ,0,250,0,5 (bedrolls),N/A,Verbal Compliance 
Obstruction,5/9/2022,Cowen Park,No ,3,55,10,3,N/A,James 
Obstruction,5/9/2022,Roxhill Park ,No ,0,50,0,2 (bedrolls),N/A,Verbal Compliance 
Obstruction,5/9/2022,Denny Blaine Park ,No ,1,110,0,1,N/A,James 
5/6/2022,5/10/2022,Woodland Park ,No ,3,"57,120",1000,61,N/A,(Kwame-1 storage) (James-2 Storage) 
Obstruction,5/12/2022,Victor Steinbrueck Park ,No,0,10,0,1,,James completed obstruction/ voluntary compliance 
Obstruction,5/16/2022,Ballard Libray ,No ,0,30,0,1,N/A,Bill 
Obstruction,5/16/2022,Lower Judkins Park ,No ,0,0,0,1,N/A,(Kwame) Verbal Compliance 
5/13/2022,5/17/2022,Delridge Park  (48hr Posting),No ,0,"2,200",20,2,N/A,Kwame and Kareem did Removal 
5/13/2022,5/17/2022,43rd St & 8th Ave NW,No ,0,"50,200",500,20,N/A,Bill Did Removal 
5/18/2022,5/20/2022,Cherry St btw 6th Ave & 7th Ave ,Yes (Posting pulled),0,800,200,10,N/A,Bill
Obstruction,5/20/2022,Freeway Park,No ,2,"2,000",30,4,N/A,Bill
5/16/2022,5/18/2022,S Weller St Btw S Rainier St & 12th Ave -Nav Stairs,No ,0,"31,080",75,28,No ,"Kwame, Kareem and Beau did the removal "
5/17/2022,5/19/2022,Shilshole (22nd /24th) ,Yes (Posting pulled),1,"15,860",312,14,N/A,
Obstruction,5/20/2022,Kinnear Park ,No ,0,0,0,1,N/A,Kareem-completed obstruction- voluntary compliance 
Obstruction,5/20/2022,Lower Judkins Park ,No ,1,20,0,1,N/A,Kareem-completed obstruction 
Obstruction,5/20/2022,Upper Judkins Park ,No ,0,0,0,1,N/A,Voluntary Compliance-Beau 
Obstruction,5/20/2022,Ballard Library ,No ,0,0,0,1,N/A,Verbal Compliance- Kareem and Beau 
Obstruction,5/20/2022,Victor Steinbrueck Park ,No ,1,50,0,2,N/A,Beau completed obstruction-voluntary compliance 
Obstruction,5/20/2022,8th & King,No ,0,300,0,1,N/A,Kwame completed obstruction-Verbal Compliance 
Obstruction,5/20/2022,10th & Dearborn ,No ,0,700,0,1,N/A,Kwame completed obstruction-Verbal Compliance 
5/20/2022,5/23/2022,NW 85th St & 3rd Ave ,No ,0,500,0,1,N/A,Bill completed removal 
Obstruction,5/23/2022,10th & Dearborn (4-tents),No,1,100,15,7,N/A,Kareem completed obstruction
Obstruction,5/23/2022,Cal Anderson Park (1-tent),No ,0,0,0,1,N/A,Bill completed obstruction-self resolved 
5/20/2022,5/24/2022,Sturgus Park ,No ,,"1,800",,,N/A,Removal 5/24
5/20/2022,5/24/2022,7th Ave S & S Fidalgo St,No ,,,,,N/A,Removal 5/24
5/23/2022,5/25/2022,Freeway Park,No ,3,?,100,12,N/A,Kwame and Kareem did Removal 
5/24/2022,5/26/2022,Kinnear Park & Kinnear Place ,No ,,,,16,N/A,Bill and Kareem 
Obstruction,5/26/2022,Cal Anderson Park (1-tent),No ,0,0,0,2,N/A,Kwame- completed obstruction-verbal compliance 
Obstruction,5/26/2022,Ballard Commons (1-tent) ,No ,0,0,0,1,N/A,Kwame- completed obstruction-verbal compliance 
Obstruction,5/31/2022,Victor Steinbrueck Park ,No ,1,100,2,3,N/A,Kareem completed obstruction
5/31/2022,6/2/2022,Poplar Pl S from S Dearborn St to S Bush Pl Vicinity ,No ,?,"1,880",100,5,N/A,Kwame 
Obstruction,6/2/2022,Victor Steinbrueck Park ,No ,0,30,0,1,N/A,James 
Obstruction,6/2/2022,Cherry St btw 6th Ave & 7th Ave ,No ,0,700,10,5,N/A,James 
Obstruction,6/2/2022,Genesee Park ,No ,0,250,0,1,N/A,James
6/1/2022,6/3/2022,22nd & S Grand ,No ,0,"21,760",100,7-tents & 4-Struc.,N/A,Kareem
Obstruction,6/3/2022,Victor Steinbrueck Park ,No ,0,0,0,1,N/A,James 
Obstruction,6/3/2022,Othello Park ,No ,0,700,0,1,N/A,James
Obstruction,6/3/2022,Miller Playfield ,No ,3,40,0,1,N/A,James 
6/3/2022,6/6/2022,Homer Harris Park ,No ,0,0,0,1,N/A,Bill- completed removal. Self Resolved 
6/3/2022,6/6/2022,Broadway Hill Park ,No ,0,"2,500",2,9,N/A,Bill- completed removal. 
Obstruction ,6/6/2022,Victor Steinbrueck Park ,No ,N/A,N/A,N/A,N/A,N/A,James-Clear 
Obstruction ,6/6/2022,Ravenna Blvd ,No ,0,40,0,1,N/A,James-Clear 
Obstruction ,6/6/2022,Thornton Creek (NE 125th St Vicinity) ,No ,0,500,10,1,N/A,James-Clear 
Obstruction,6/6/2022,S Weller St Btw S Rainier St & 12th Ave -Nav Stairs,No ,2,0,0,1-tent ,N/A,Kareem 
6/3/2022,6/7/2022,West Seattle Stadium,No ,0,"2,000",0,5,N/A,Kwame 
6/3/2022,6/7/2022,NW 45th & Shilshole Ave NW,No ,0,"2,400",50,"8-tents, 1-structure ",N/A,Kareem completed removal 
Obstruction ,6/7/2022,4th Ave from Columbia St to Cherry St,No ,0,,,1,N/A,James 
Obstruction ,6/7/2022,Columbia St to Jefferson St from 7th Ave to 6th Ave ,No ,0,40,0,3,N/A,James 
Obstruction ,6/7/2022,Poplar Pl S from S Dearborn St to S Bush Pl Vicinity ,No ,0,300,3,2 (1bedroll) ,N/A,Verbal Compliance- Kwame
Obstruction ,6/7/2022,Myrtle Edwards Park ,No ,0,0,0,1,N/A,Self-Resolved-Kwame
Obstruction ,6/8/2022,Broadway Hill Park ,No ,0,75,0,2 (1bedroll) ,N/A,James
Obstruction ,6/8/2022,Seven Hills Park ,No ,0,40,0,2,N/A,James
Obstruction ,6/8/2022,Stewart St.Ramp to NB I-5 Express Lane (WSDOT-Property),No ,0,?,50,11,N/A,James
Obstruction ,6/8/2022,Lower Kinnear ,No ,0,"1,420",0,7,N/A,Kareem 
Obstruction ,6/8/2022,3rd & James ,No ,0,250,0,4,N/A,Kwame 
Obstruction ,6/8/2022,Victor Steinbrueck Park ,No ,0,,,1,N/A,Kwame- Verbal Compliance 
6/7/2022,6/9/2022,Golden Gardens Park ,No ,0,"1,000",0,1,N/A,James Posted/ Kareem Did Removal
Obstruction ,6/10/2022,Seven Hills Park ,No ,0,550,25,2,N/A,James completed obstruction
Obstruction ,6/10/2022,Victor Steinbrueck Park ,No ,0,800,0,1,N/A,Kwame completed obstruction
6/10/2022,6/13/2022,Jackson Golf,No ,0,"3,560",22,4,N/A,James Posted 
Obstruction ,6/13/2022,Ballard Library ,No ,0,30,0,1 (4-bedrolls),N/A,Kwame completed obstruction-Verbal Compliance 
Obstruction ,6/13/2022,Kinnear Park ,No ,0,15,7,2,N/A,Kwame completed obstruction
Obstruction ,6/13/2022,Daejeon Park,No ,0,"3,560",32,7,N/A,
Obstruction ,6/13/2022,Albert Davis Park ,No ,0,100,0,1-tent ,N/A,Kareem Completed Obstruction
6/10/2022,6/14/2022,NW 48th St & Leary Way NW,No ,0,"4,500",20,1-tent and 1-structures,N/A,Kwame completed removal 
6/10/2022,6/14/2022,36th & S Adams ,No ,0,"8,500",0,"6-tents and 5-Structures, 1-RV",N/A,Kareem Completed Advance Notice Removal 
Obstruction ,6/15/2022,Louisa Boren/Viewpoint ,No ,1,0,0,2,N/A,Kareem Completed Obstruction
6/13/2022,6/16/2022,28th Ave SW & SW Andover St,No ,0,"80,000",100,"2-tent, 3-structures,4-vehicles",N/A,Kwame completed Removal with SPU
Obstruction ,6/16/2022,Albert Davis Park ,No ,0,100,0,1-tent,N/A,Kareem Completed Obstruction
Obstruction ,6/16/2022,Victor Steinbrueck Park ,No ,0,0,0,N/A ,N/A,Kareem Completed Obstruction-self resolved 
Obstruction ,6/16/2022,Ballard Library ,No ,0,N/A,N/A,N/A,N/A,Kareem Completed Obstruction-self resolved 
Obstruction ,6/16/2022,Golden Gardens Park ,No ,0,0,0,1 (structure),N/A,Kareem Completed Obstruction-verbal compliance 
Obstruction,6/17/2022,Kinnear Park ,No ,0,0,0,4-tents ,N/A,Kareem Completed Obstruction-verbal compliance 
Obstruction ,6/17/2022,Oxbow Park ,No ,0,0,0,0,N/A,Kwame completed obstruction-self resolved 
Obstruction ,6/22/2022,4th & Yesler ,No ,0,0,0,1,N/A,James completed obstruction
Obstruction ,6/22/2022,Lake City CC,No ,0,0,0,1,N/A,James completed obstruction
Obstruction ,6/22/2022,36th & S Adams ,No ,1,0,0,1,N/A,Kareem Completed Obstruction
?,6/23/2022,Occidental Park ,No ,0,"1,200",0,2-tents,N/A,Kareem Completed Removal 
Obstruction ,6/23/2022,Sturgus Park ,No ,1,150,5,3-tents,N/A,Kwame completed obstruction
Obstruction ,6/23/2022,Rotary Viewpoint ,No ,1,250,0,1,N/A,Kwame completed obstruction
Obstruction ,6/23/2022,Cal Anderson Park ,No ,0,0,0,0,N/A,Bill completed obstruction- Self resolved 
Obstruction ,6/24/2022,Ballard Library ,No ,N/A,N/A,N/A,N/A,N/A,Bill completed obstruction- Self resolved 
Obstruction,6/24/2022,Occidental Park ,No ,0,150,0,"1-tent , 1-structure, 3-bedrolls",N/A,Kareem and Completed Obstruction
Obstruction,6/24/2022,Victor Steinbrueck Park ,No ,N/A,N/A,N/A,N/A,N/A,Kareem Completed Obstruction
Obstruction,6/24/2022,Myrtle Edwards Park ,No ,N/A,N/A,N/A,N/A,N/A,
Obstruction,6/27/2022,Cal Anderson Park ,No ,2,200,0,2-Tents (1-bedroll),N/A,James completed obstruction
6/26/2022,6/28/2022,Denny Playfield ,No ,7,"1,500",0,4,N/A,Kareem Completed Removal 
6/26/2022,6/28/2022,2100 Northlake Way ,No ,0,"5,840",100,1 (10-RV's),N/A,Bill completed removal 
Obstruction,6/28/2022,Ballard Commons ,No ,0,25,0,1-bed-roll,N/A,Kwame completed obstruction-Verbal Compliance 
6/27/2022,6/29/2022,Colman Park ,No ,0,600,0,3,N/A,Kareem will complete removal 
6/27/2022,6/29/2022,Kobe Terrace Park ,No ,0,0,0,0,N/A,Bill completed-self resolved 
Obstruction,6/29/2022,Myrtle Edwards Park ,No ,0,0,0,1,N/A,Bill will complete obstruction-self resolved 
Obstruction,6/29/2022,Occidental Park ,No ,0,50,0,2,N/A,Kwame completed obstruction-Verbal Compliance 
Obstruction,6/29/2022,West Seattle Stadium,No ,N/A,N/A,N/A,0,N/A,Self-Resolved-Kwame
Obstruction,6/29/2022,Poplar Pl S from S Dearborn St to S Bush Pl Vicinity ,No ,0,800,50,2 (1-RV),N/A,Kareem Completed Obstruction
Obstruction,6/29/2022,Fauntleroy Park (Stopped here on Leah's List) ,No ,1,0,0,1,N/A,"Kwame completed obstruction. When FC arrived, camper was not present, property will be stored (tent,contents). "
Obstruction,6/29/2022,Victor Steinbrueck Park ,No ,0,0,0,2,N/A,Bill completed obstruction- Self resolved 
Obstruction,6/29/2022,Ballard Library ,No ,0,0,0,0,N/A,Bill completed obstruction- Self resolved 
Obstruction,6/29/2022,3rd & Cherry ,No ,0,150,10,"2-tents, 2-structures",N/A,Kareem Completed Obstruction
Obstruction,6/29/2022,Denny Playfield ,No ,0,50,0,1,N/A,Kareem Completed Obstruction
