Posting Date,Removal Date,Location ,If postponed? ,Storage (# of bins),Tonnage,Needles,Tent Count,Construction Posting,Comments 
Obstruction,9/26/2022,Licton Springs ,No,1,0,0,1-tent,N/A ,James completed obstruction 
Obstruction ,9/26/2022,3rd & James ,No,0,75,0,1-tent ,N/A,James completed obstruction 
Obstruction ,9/26/2022,Ballard Library ,No,0,0,0,1-tent and 1-bedroll ,N/A,Kareem completed obstruction 
Obstruction ,9/26/2022,Riverview ,No,N/A,N/A,N/A,N/A,N/A,Kwame-self-resolved 
Obstruction ,9/26/2022,Victor Steinbrueck Park ,No,1,100,5,1-bedroll,N/A,Kareem completed obstruction 
Obstruction ,9/26/2022,Delridge ,No,N/A,N/A,N/A,N/A,N/A,Kwame-self resolved 
Obstruction ,9/26/2022,Occidental Park ,No,0,0,0,1-bedroll,N/A,Kareem completed obstruction-voluntary compliance 
Obstruction ,9/26/2022,6th & Cherry ,No,0,0,10,1-tent,N/A,Kareem completed obstruction-voluntary compliance 
Obstruction ,9/26/2022,4th & Yesler ,No,0,0,0,1-tent ,N/A,Kwame completed obstruction-verbal compliance 
Obstruction ,9/26/2022,Cal Anderson ,No,1,25,0,1-tent,N/A,Kareem completed obstruction- voluntary compliance 
Obstruction ,9/27/2022,Carkeek Park ,No,0,50,5,1-tent ,N/A,James completed obstruction 
Obstruction ,9/27/2022,Green Lake ,No,N/A,N/A,N/A,N/A,N/A,James completed obstruction-self resolved 
Obstruction ,9/27/2022,Ballard Library ,No,0,30,0,"1-tent, 1-bedroll ",N/A,Bill completed obstruction-self resolved 
Obstruction ,9/27/2022,3rd & James ,No,0,400,0,2-tents ,N/A,Bill completed obstruction-verbal compliance 
Obstruction ,9/27/2022,6th & Cherry ,No,0,100,0,2-tents ,N/A,Bill completed obstruction-verbal compliance 
Obstruction ,9/27/2022,Victor Steinbrueck Park ,No,N/A,N/A,N/A,N/A,N/A,Bill completed obstruction-self resolved 
Obstruction ,9/27/2022,Occidental Park ,No,0,250,0,1-bedroll ,N/A,Bill completed obstruction-verbal compliance 
9/23/2022,9/27/2022,SW Myrtle & Detroit Ave SW (RVM),No,0,"6,630",50,"5-Tents, 1-Structure, 4-RV's, 7-Vehicles",N/A,Kwame completed removal 
9/23/2022,9/28/2022,Cheasty Greenbelt at S Winthrop (Day #1) ,No,0,"14,920",50,2-tents and 14-structures ,N/A,James and Bill completed removal 
9/23/2022,9/29/2022,Cheasty Greenbelt at S Winthrop (Day #2) ,No,0,"64,520",100,2-tents and 2-structures ,N/A,James and Bill completed removal 
Obstruction ,9/29/2022,Bergan Place ,No,0,15,0,1-bedroll,N/A,Bill completed obstruction- voluntary compliance 
9/27/2022,9/29/2022,4500-4700 4th Ave S (RVM),No,0,"26,640",0,1-tent (RV's-check with Kareem),N/A,Kareem completed removal with Shep (RVM)
9/23/2022,9/30/2022,Cheasty Greenbelt at S Winthrop (Day #3) ,No,0,"5,200",0,0,N/A,James and Bill completed removal 
9/28/2022,9/30/2022,Fremont Canal Park ,No,0,"13,300",100,"13-tents, 3-structures ",N/A,Kareem and Kwame completed removal 
9/30/2022,10/3/2022,Gerber Park ,No,1,"1,240",50,4-tents,N/A,Kareem completed removal 
Obstruction ,10/3/2022,Hing-Hay Park ,No,0,15,0,2-bedrolls ,N/A,Kwame completed obstruction 
Obstruction ,10/3/2022,Cal Anderson ,No,0,100,10,"4-tents, 1-bedroll",N/A,Kwame completed obstruction 
Obstruction ,10/3/2022,3rd & James ,No,0,150,10,3-bedrolls,N/A,Kwame completed obstruction 
Obstruction ,10/3/2022,Poplar Pl S from S from S Dearborn St to S Bush Pl Vicinity ,No,0,100,0,3-tents ,N/A,Kareem completed obstruction
Obstruction ,10/4/2022,Powell Barnett Park ,No,0,0,0,1-tent ,N/A,Kareem completed obstruction-voluntary compliance 
Obstruction ,10/4/2022,Cal Anderson ,No,0,100,0,"2-tents, 4-bedrolls ",N/A,Kareem completed obstruction-voluntary compliance 
Obstruction ,10/4/2022,Daejeon Park ,No,0,200,0,1-tent,N/A,Kareem completed obstruction-voluntary compliance 
Obstruction ,10/4/2022,Broadway Hill Park ,No,0,150,0,"1-tent, 1-bedroll ",N/A,Kareem completed obstruction-voluntary compliance 
Obstruction ,10/4/2022,Victor Steinbrueck Park ,No,0,0,0,1-bedroll ,N/A,Kareem completed obstruction-voluntary compliance 
Obstruction ,10/4/2022,Ballard Library ,No,0,0,0,"1-tent, 1-bedroll ",N/A,Bill completed obstruction-voluntary compliance 
Obstruction ,10/4/2022,4th & Yesler ,No,0,20,0,1-tent ,N/A,Kwame completed obstruction-verbal compliance 
Obstruction ,10/4/2022,3rd & James ,No,0,100,0,1-bed-roll ,N/A,Kwame completed obstruction-verbal compliance 
Obstruction ,10/4/2022,6th & Cherry ,No,0,0,0,1-tent,N/A,Kwame completed obstruction-verbal compliance 
Obstruction ,10/4/2022,Occidental Park ,No,0,100,0,1-bed-roll ,N/A,Kwame completed obstruction-verbal compliance 
10/3/2022,10/5/2022,39th  Ave S & S Kenyon Way ,No,0,"6,920",100,"4-tents, 2-Structures ",N/A,Kareem completed removal 
Obstruction ,10/5/2022,Ballard Commons ,No,0,15,0,"1-tent, 1-structure, 1-bedroll",N/A,Bill completed obstruction 
Obstruction ,10/5/2022,Gasworks ,No,0,200,0,1-tent ,N/A,Bill completed obstruction 
Obstruction,10/5/2022,Rotary Viewpoint ,No,0,15,0,2-tents,N/A,Kwame completed obstruction (Note from Kwame: I had 1-tent removed (owner was not present) tent was discarded because it was damaged and had blanket with human waste on it. 
Obstruction,10/5/2022,6th & Cherry ,No,0,10,0,1-tent ,N/A,Kwame completed obstruction
Obstruction,10/5/2022,Occidental Park ,No,0,25,9,1-bedroll ,N/A,Kwame completed obstruction
Obstruction,10/5/2022,3rd & James ,No,0,N/A,N/A,N/A,N/A,Self resolved-Kwame 
Obstruction,10/5/2022,Pioneer Square ,No,0,20,0,1-tent,N/A,Kwame completed obstruction
Obstruction,10/6/2022,Ballard Library ,No,0,10,0,"1-tent, 1-structure, 1-bedroll",N/A,Bill completed obstruction
Obstruction,10/6/2022,Interurban Trial ,No,0,N/A,N/A,N/A,N/A,Self Resolved- Bill 
Obstruction,10/6/2022,Woodland Park ,No,0,N/A,N/A,N/A,N/A,Self Resolved-Bill
Obstruction,10/6/2022,Greenlake ,No,0,500,0,1-tent ,N/A,Bill completed obstruction
Obstruction,10/6/2022,Broadway Hill Park ,No,0,N/A,N/A,N/A,N/A,Bill completed obstruction
Obstruction,10/6/2022,Cascade Park ,No,0,"1,500",0,4-tents ,N/A,Bill completed obstruction
Obstruction,10/11/2022,University Playfield ,No,0,20,10,1-tent ,N/A,James completed obstruction- voluntary compliance 
10/7/2022,10/11/2022,Viretta Park ,No,0,20,0,0,N/A,"James posted and completed the removal- self resolved, no tents. "
10/7/2022,10/11/2022,6th Ave S & S Bradford ,No,0,"10,000",100,2-Structures ,N/A,Kareem completed removal 
Obstruction,10/11/2022, Ballard Library,No,0,100,0,2-tents ,N/A,Bill completed obstruction
Obstruction,10/11/2022, Lake City Land Back,No,0,N/A,N/A,N/A,N/A,Self resolved- Bill 
Obstruction,10/11/2022, Woodland Park,No,0,50,0,2-tents ,N/A,Bill completed obstruction
Obstruction,10/11/2022,Kerry Park Viewpoint,No,0,0,0,1-tent ,N/A,Bill completed obstruction
Obstruction,10/11/2022, University Playfield ,No,0,20,10,1-tent,N/A,James completed obstruction
Obstruction,10/11/2022,Jefferson Golf,No,1,100,0,1-tent,N/A,Kareem completed obstruction 
Obstruction,10/11/2022,3rd & James,No,0,100,0,"1-tent, 1-bedroll ",N/A,Kwame completed obstruction 
Obstruction,10/11/2022,6th & Cherry ,No,0,15,0,1-tent ,N/A,Kwame completed obstruction
Obstruction,10/11/2022,Plum Tree ,No,N/A,N/A,N/A,N/A,N/A,self resolved-Kwame 
Obstruction,10/12/2022,Occidental Park ,No,0,100,0,"1-structure, 1-bedroll",N/A,Kareem completed obstruction-voluntary compliance
Obstruction,10/12/2022,3rd & Cherry ,No,0,50,0,2-bedrolls,N/A,Kareem completed obstruction-voluntary compliance
Obstruction,10/12/2022,6th & Cherry ,No,0,25,0,1-tent ,N/A,Kareem completed obstruction-voluntary compliance
10/7/2022,10/12/2022,Thomas St and Pontius Ave N ,No,0,400,4,4-tents,N/A,Kareem completed removal 
Obstruction,10/12/2022,Green Lake ,No,0,25,0,1-tent ,N/A,James completed obstruction 
Obstruction,10/12/2022,Ballrd Library ,No,0,75,0,2-bedrolls ,N/A,James completed obstruction 
Obstruction,10/12/2022,Ballard Commons ,No,N/A,N/A,N/A,N/A,N/A,James completed-self resolved 
10/11/2022,10/13/2022,Magnuson Park ,No,2,"8,740",10,"4-tents, 1-structure",N/A,James posted and completed removal 
Obstruction,10/13/2022,N 128th St & Stone Ave N,No,0,"1,500",0,"14-Tents, 3-Structures, 3-RV's",N/A,Kareem completed obstruction 
Obstruction,10/13/2022,Cascade Park,No,0,100,0,0,N/A,Kareem completed obstruction 
Obstruction,10/13/2022,3rd & James,No,0,100,0,1-tent,N/A,Kareem completed obstruction 
Obstruction,10/13/2022,6th & Cherry,No,0,50,0,50,N/A,Kareem completed obstruction 
Obstruction,10/13/2022,Occidental Park,No,0,100,0,50,N/A,Kareem completed obstruction 
Obstruction,10/14/2022,Eastlake Ave E  & Denny Way,No,0,25,0,1-tent,N/A,Kareem completed obstruction 
Obstruction ,10/14/2022,Thomas St and Pontius Ave N ,No,0,0,0,2-bed rolls ,N/A,Kareem completed obstruction 
Obstruction ,10/14/2022,Occidental Park ,No,0,25,0,2-bedrolls ,N/A,Kareem completed obstruction 
Obstruction ,10/14/2022,3rd & James ,No,0,10,0,2-bedrolls ,N/A,Kareem completed obstruction 
Obstruction ,10/14/2022,6th & Cherry ,No,N/A,N/A,N/A,N/A,N/A,Kareem-self resolved 
Obstruction ,10/14/2022,7th & James ,No,1,10,5,1-tent,N/A,Kareem completed obstruction
Obstruction ,10/14/2022,Magnuson Waterway Park ,No,0,"3,000",0,1-tent ,N/A,James completed obstruction 
Obstruction ,10/17/2022,Kinnear Park ,No,N/A,N/A,N/A,N/A,N/A,James-Self Resolved 
Obstruction ,10/17/2022,Eastlake Ave E and Denny Way ,No,0,20,0,1-tent ,N/A,James- Voluntary Compliance 
10/14/2022,10/17/2022,Judge Charles Stokes Park ,No,0,"9,600",0,"13-tent, 4-structures ",N/A,Kareem completed removal 
10/14/2022,10/18/2022,6th Ave S & S Massachusetts St ,No,0,"7,690",15,"8-tents, 2-structures",N/A,James completed removal 
Obstruction ,10/18/2022,Cal Anderson,No,N/A,N/A,N/A,N/A,N/A,Self resolved- James 
Obstruction ,10/18/2022,Occidental Park ,No,0,150,N/A,1-tent,N/A,James completetd obstruction
Obstruction ,10/18/2022,Thorndyke Park ,No,0,100,0,1-tent,N/A,Kareem completed obstruction
Obstruction ,10/18/2022,Julia Lee Park ,No,0,N/A,N/A,N/A,N/A,self-resolved Kareem 
Obstruction ,10/18/2022,6th & Cherry ,No,0,5,0,1-tent ,N/A,Kareem completed obststruction
Obstruction ,10/19/2022,Lower Woodland ,No,0,50,0,1-bedroll,N/A,Kareem completed obstruction
Obstruction ,10/19/2022,3rd & James ,No,0,20,0,1-tent,N/A,Kareem completed obstruction
Obstruction ,10/19/2022,5th & Yesler ,No,N/A,N/A,N/A,N/A,N/A,self reolsved-Kareem 
Obstruction ,10/19/2022,6th & Cherry ,No,0,25,0,1-bedroll,N/A,Kareem completed obstruction
Obstruction ,10/19/2022,Occidental Park ,No,0,20,0,1-bedroll,N/A,Kareem completed obstruction
Obstruction ,10/19/2022,Plymouth Pillars ,No,0,100,30,1-tent,N/A,Kareem completed obstruction
Obstruction ,10/19/2022,Tashkent Park ,No,N/A,N/A,N/A,N/A,N/A,self resolved-Kareem 
Obstruction ,10/19/2022,Julia Lee Park ,No,N/A,N/A,N/A,N/A,N/A,self resolved-Kareem 
Obstruction ,10/19/2022,Albert Davis ,No,0,150,,3-bed-rolls,N/A,James completetd obstruction
Obstruction ,10/19/2022,University Playground ,No,0,0,0,1-bed-roll,N/A,James completetd obstruction
Obstruction ,10/19/2022,Ballard Library ,No,0,50,0,1-bed-roll,N/A,James completetd obstruction
Obstruction ,10/20/2022,Interurban Trail,No,0,150,5,1-tent,N/A,James completetd obstruction
10/18/2022,10/20/2022,16th Ave SW & SW Graham (RVM),No,N/A,N/A,N/A,self-resolved 0-Tents,N/A,SPR-FC didn't complete removal-no tents 
Obstruction ,10/20/2022,Occidental Park,No,0,50,20,"1-tent, 2-bedrolls",N/A,Kareem/Kwame completed obstruction-verbal compliance 
Obstruction ,10/20/2022,3rd & James,No,0,150,0,"1-tent, 2-bedroll",N/A,Kareem/Kwame  completed obstruction-verbal compliance 
Obstruction ,10/20/2022,5th & Yesler,No,N/A,N/A,N/A,self-resolved 0-Tents,N/A,self resolved-Kareem/Kwame 
Obstruction ,10/20/2022,6th & Cherry,No,0,0,0,2-tents,N/A,Kareem/Kwame completed obstruction-verbal compliance 
Obstruction ,10/21/2022,Roxhill Park ,No,0,350,0,3-tents,N/A,"Kwame completed obstruction-1-tent removed TI-KQR-1021 Owner not present. All property was discarded. Tent was damaged, clothing outside of tent was wet. (Kwame's notes from email)"
Obstruction ,10/21/2022,Homewood Natural Area ,No,0,100,0,1-tent,N/A,Kareem completed obstruction
Obstruction ,10/21/2022,Thomas St Mini ,No,N/A,N/A,N/A,self-resolved 0-Tents,N/A,Kareem/ wasn't able obstruct due to tent being on private property
Obstruction ,10/21/2022,Cal Anderson ,No,0,50,0,3-tents ,N/A,Kareem completed obstruction
10/19/2022,10/21/2022,Bitter Lake Reservoir,No,0,700,10,1-tent ,N/A,James completed removal 
Obstruction ,10/21/2022,Occidental Park ,No,0,50,0,1-bedroll ,N/A,James completetd obstruction
Obstruction ,10/21/2022,Columbia St to Jefferson St to 7th Ave & 6th Ave,No,0,200,0,2-tents,N/A,James completetd obstruction
10/21/2022,10/24/2022,Northacres Park ,No,0,"1,000",12,"2-tents, 3-RV's",N/A,James completed removal 
Obstruction ,10/24/2022,Ballard Library ,No,0,50,0,1-tent and 2-bedrolls,N/A,Kareem completed obstruction-Voluntary compliance 
Obstruction ,10/24/2022,Greenlake Park ,No,0,0,0,2-tents,N/A,Kareem completed obstruction-Voluntary compliance 
Obstruction ,10/24/2022,Thomas St and Pontius Ave N,No,0,75,0,2-bedrolls,N/A,Kareem completed obstruction. Notes from Kareem: No storage property left on side walk due to people inside of the church day center
Obstruction ,10/24/2022,3rd & James ,No,0,200,0,2-tents,N/A,Kwame completed obstruction-verbal compliance 
Obstruction ,10/24/2022,Occidental Park ,No,0,100,0,1-tent,N/A,Kwame completed obstruction-verbal compliance 
Obstruction ,10/24/2022,Cal Anderson ,No,0,15,1,2-live in structures,N/A,Kwame completed obstruction
Obstruction ,10/24/2022,Broadway Hill Park ,No,N/A,N/A,N/A,self-resolved 0-Tents,N/A,Kwame completed obstruction/self-resolved
Obstruction ,10/24/2022,Alki Beach (63rd),No,0,0,0,1-tent,N/A,Kwame completed obstruction
10/21/2022,10/25/2022,8th Ave NE& NE Northlake Pl (RVM),No,1,"2,100",100,5-tents,N/A,Kareem assisted Shep at the removal 
10/21/2022,10/25/2022,Alaskan Way S from Atlantic St to Jack Perry Memorial Access RD,No,1,"12,000",75,"7-tents, 3-structures ",N/A,Kwame completed removal 
Obstruction ,10/27/2022,Upper Woodland (Shelter 6),No,0,0,0,1-tent ,N/A,James completed obstruction-voluntary compliance 
10/24/2022,10/27/2022,NW 47th St & 8th Ave NW (RVM),No,,"5,820",30,"4-tents, 3-RV's ",N/A,Kareem completed removal with Shep (SPU)
10/25/2022,10/27/2022,Ravenna Park ,No,0,"5,000",50,7-tents,N/A,James and Kwame completed removal 
Obstruction ,10/28/2022,3rd & James ,No,0,150,0,2-tents ,N/A,Kareem completed obstruction
Obstruction ,10/28/2022,6th & Cherry ,No,0,50,0,2-tents ,N/A,Kareem completed obstruction 
10/26/2022,10/28/2022,Nagel Pl ,No,1,"1,940",24,"15-tents, 1-structure",N/A,Kaereem completed removal
Obstruction ,10/28/2022,Albert Davis Park ,No,0,150,0,1-structure ,N/A,James completed obstruction
Obstruction ,10/28/2022,Magnuson Park ,No,0,"1,500",0,1-tent,N/A,James completed obstruction
Obstruction ,10/28/2022,University Playfield ,No,0,150,0,1-structure,N/A,James completed obstruction
Obstruction ,10/31/2022,Interurban Trail ,No,1,"1,300",10,4-tents,N/A,James completed obstruction
Obstruction ,10/31/2022,Green Lake ,No,1,15,0,1-tent,N/A,James completed obstruction
Obstruction ,10/31/2022,Ballard Library ,No,0,500,0,3-tents,N/A,James completed obstruction
Obstruction ,10/31/2022,North 87th St & 1st Ave NW,No,0,"3,800",25,1-tent,N/A,James completed obstruction
Obstruction ,11/1/2022,Denny Park ,No,0,0,0,1-tent,N/A,self resolved-Kareem 
Obstruction ,11/1/2022,Volunteer Park ,No,N/A,N/A,N/A,self-resolved 0-Tents,N/A,self resolved-Kareem 
Obstruction ,11/1/2022,Tashkent Park ,No,N/A,N/A,N/A,self-resolved 0-Tents,N/A,self resolved-Kareem 
Obstruction ,11/1/2022,Daejon Park ,No,N/A,N/A,N/A,self-resolved 0-Tents,N/A,self resolved-Kareem 
10/28/2022,11/1/2022,7th & Fidalgo (RVM) Site ID:248,No,0,"17,780",25,3-tents,N/A,James completed removal with Shep (SPU)
Obstruction ,11/2/2022,Bellevue Pl ,No,1,"1,050",20,1-bed-roll,N/A,James completed obstruction
Obstruction ,11/2/2022,Green Lake ,No,0,0,0,"2-tents, 1-bed-roll ",N/A,Kareem completed obstruction 
Obstruction ,11/2/2022,Woodland Park ,No,0,150,10,1-tent ,N/A ,Kareem completed obstruction 
Obstruction ,11/2/2022,Jefferson Park ,No,0,5,0,1-tent,N/A,Kareem completed obstruction 
Obstruction ,11/2/2022,3rd & James ,No,0,200,0,3-tents ,N/A,Kwame completed obstruction
Obstruction ,11/2/2022,6th & Cherry ,No,0,25,0,1-tent,N/A,Kwame completed obstruction
Obstruction ,11/2/2022,Occidental Park ,No,0,25,0,3-bedrolls ,N/A,Kwame completed obstruction
Obstruction ,11/2/2022,Interlaken Park ,No,1,20,0,2-tents ,N/A,"Kwame reported there’s 1 tent left and that SPD might have to issue a warrant, or Kwame might have to return early morning to remove tent."
Obstruction ,11/3/2022,University Playground ,No,N/A,N/A,N/A,self-resolved 0-Tents,N/A,Self-resolved-James
11/1/2022,11/3/2022,W Marginal Way & 2nd Ave SW,No,0,"5,000",100,2-Structures ,N/A,Kareem completed removal with Shep (SPU)
Obstruction ,11/3/2022,S Jackson St btw 8th Ave S & 10th Ave S ,No,0,30,0,1-tent ,N/A,Kareem completed obstruction 
Obstruction ,11/4/2022,Ballard Library ,No,0,40,0,3-tents,N/A,James completed obstruction
Obstruction ,11/4/2022,Jackson Golf ,No,0,600,0,self-resolved 0-Tents,N/A,self resolved-James 
Obstruction ,11/4/2022,Green Lake ,No,0,5,0,1-tent ,N/A,Kareem completed obstruction 
Obstruction ,11/4/2022,Victor Steinbrueck ,No,N/A,N/A,N/A,self-resolved 0-Tents,N/A,self resolved-Kareem 
Obstruction ,11/4/2022,3rd & James,No,0,100,0,"2-tents, 3-bedrolls ",N/A,Kareem completed obstruction 
Obstruction ,11/4/2022,6th & Cherry ,No,0,20,0,2-tents,N/A,Kwame completed obstruction
Obstruction ,11/4/2022,Occidental Park ,No,0,100,0,1-bedroll,N/A,Kareem completed obstruction 
Obstruction ,11/7/2022,Ballard Library,No,0,40,0,2-bedrolls,N/A,Kareem completed obstruction 
Obstruction ,11/7/2022,Interurban @ 125th ,No,0,250,100,1-tent,N/A,Kareem completed obstruction 
Obstruction ,11/7/2022,Alaskan Way & Main ,No,0,15,0,3-tents,N/A,Kareem completed obstruction 
Obstruction ,11/7/2022,3rd & James ,No,0,150,0,"3-tents, 2-bedrolls ",N/A,Kareem completed obstruction 
Obstruction ,11/7/2022,Occidental Park ,No,0,50,0,"2-bedrolls, 1-tent",N/A,Kwame completede obstruction
Obstruction ,11/7/2022,6th & Cherry ,No,0,20,0,1-tent,N/A,Kwame completede obstruction
11/4/2022,11/8/2022,7th Ave & Sullivan,No,0,Waiting on report /Heavy,50,"4-Tents, 2-Structures, 3-Cars ",N/A,Kwame completed removal 
11/4/2022,11/9/2022,7th Ave & Sullivan (2nd Day),No,0,"28,440",0,0,N/A,Kwame completed removal 
11/4/2022,11/8/2022,NW 45th & Shilshole Ave NW (RVM),No,0,"4,000",30,"8-Tents, 4-RV's ",N/A,James completed removal with Shep (SPU)
Obstruction ,11/9/2022,Green Lake,No,0,100,0,1-tent,N/A,James completed obstruction
Obstruction ,11/9/2022,Ravenna Park,No,0,200,1,1-tent,N/A,James completed obstruction
Obstruction ,11/9/2022,Magnuson Park,No,N/A,N/A,N/A,self-resolved 0-Tents,N/A,James completed obstruction
Obstruction ,11/9/2022,Pinehurst Playground,No,0,100,4,1-tent,N/A,James completed obstruction
Obstruction ,11/9/2022,Ballard Library,No,0,50,0,4-tents,N/A,Kareem completed obstruction 
Obstruction ,11/9/2022,Gas Works Park,No,0,25,0,1-bedroll,N/A,Kareem completed obstruction 
Obstruction ,11/9/2022,Elliott Ave & Bay St,No,N/A,N/A,N/A,self-resolved 0-Tents,N/A,Kareem completed obstruction 
